Stocks,Weights
MO,0.010166421711720669
ADM,0.010166421711720669
BFB,0.010166421711720669
CPB,0.010166421711720669
CHD,0.010166421711720669
KO,0.010166421711720669
CL,0.010166421711720669
CAG,0.010166421711720669
STZ,0.010166421711720669
COST,0.010166421711720669
COTY,0.010166421711720669
CVS,0.010166421711720669
DPS,0.010166421711720669
EL,0.010166421711720669
GIS,0.010166421711720669
HRL,0.010166421711720669
SJM,0.010166421711720669
K,0.010166421711720669
KMB,0.010166421711720669
KHC,0.010166421711720669
KR,0.010166421711720669
MKC,0.010166421711720669
TAP,0.010166421711720669
MDLZ,0.010166421711720669
MNST,0.010166421711720669
PEP,0.010166421711720669
PM,0.010166421711720669
PG,0.010166421711720669
SYY,0.010166421711720669
CLX,0.010166421711720669
HSY,0.010166421711720669
TSN,0.010166421711720669
WMT,0.010166421711720669
WBA,0.010166421711720669
ALGN,0.013564144710222641
DVA,0.044718122910520956
EW,0.01668045619387394
EVHC,0.015374696923511863
HUM,0.03569704181406272
IDXX,0.0009769733216379178
ILMN,0.009038124465784291
ISRG,0.02873601344003365
LH,0.005351822351853143
MTD,0.015136796467763239
REGN,0.012357347722594553
COO,0.007662709673214596
ZTS,0.09278780833993784
AMT,0.016233137026942807
CCI,0.008903537952257148
DLR,0.11327538605137139
EQIX,0.0034036968095024485
EXR,0.04382369323210368
GGP,0.0076694024818661005
SBAC,0.03220095029914878
VTR,0.014497726430598946
AWK,0.09363426812409191
DUK,0.0008178623503687032
NEE,0.002707038129826915
SRE,0.01909290457839267
