date,consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
2000-03-27,38.08914566040039,31.91107177734375,34.48163986206055,55.084598541259766,47.44261932373047,42.21525192260742,92.82319641113281,34.89474868774414,28.004690170288086,51.90999984741211,27.969615936279297
2000-03-28,37.81650924682617,31.9935359954834,34.37379837036133,55.32780075073242,46.780860900878906,41.89609909057617,90.87956237792969,34.97887420654297,27.979310989379883,51.5,27.58346176147461
2000-03-29,38.19278335571289,32.802677154541016,35.968040466308594,55.482398986816406,45.14223861694336,42.09590148925781,86.56939697265625,35.13040542602539,27.95813751220703,52.125,28.051921844482422
2000-03-30,38.621543884277344,33.822784423828125,36.80780029296875,55.726600646972656,43.65863800048828,42.55569839477539,82.65070343017578,36.08625030517578,27.79227638244629,51.44000244140625,28.43384552001953
2000-03-31,39.13274383544922,33.90250015258789,36.950599670410156,56.909400939941406,45.727901458740234,42.91080093383789,83.50836181640625,36.734500885009766,27.884069442749023,51.630001068115234,28.54730796813965
2000-04-03,39.06956481933594,34.66814422607422,37.295719146728516,58.44340133666992,44.6137809753418,43.072200775146484,77.0613021850586,37.06712341308594,27.557275772094727,53.904998779296875,28.551538467407227
2000-04-04,38.6524543762207,35.349037170410156,36.3089599609375,56.690399169921875,43.93056106567383,42.79635238647461,76.73191833496094,36.80412292480469,27.40434455871582,54.875,28.93961524963379
2000-04-05,38.214290618896484,34.96535873413086,35.42380142211914,55.38137435913086,45.350521087646484,42.711753845214844,79.04196166992188,36.635501861572266,27.77406883239746,54.75,29.1761531829834
2000-04-06,38.935508728027344,34.84921646118164,36.22351837158203,55.72529602050781,46.31645965576172,43.243751525878906,82.5531997680664,36.79774856567383,28.347862243652344,55.89500045776367,28.83461570739746
2000-04-07,39.23096466064453,34.72321319580078,36.09904098510742,54.79137420654297,46.56681823730469,43.13595199584961,86.89665985107422,36.39775085449219,28.601587295532227,55.5,28.7246150970459
2000-04-10,38.22509002685547,34.9162483215332,35.195838928222656,55.33235168457031,45.733680725097656,42.84515380859375,80.98545837402344,37.00374984741211,28.617000579833984,54.720001220703125,29.43384552001953
2000-04-11,38.116416931152344,35.59053421020508,35.821441650390625,55.81803894042969,45.32081985473633,43.387298583984375,77.96475982666016,38.019874572753906,28.42337989807129,55.654998779296875,29.637691497802734
2000-04-12,37.8670539855957,36.214927673339844,36.570640563964844,56.20784378051758,44.441219329833984,43.58725357055664,72.39360046386719,38.607749938964844,28.60948371887207,56.029998779296875,30.106922149658203
2000-04-13,36.98652648925781,36.036712646484375,36.28351974487305,55.43921661376953,44.7966194152832,43.22465133666992,70.0020980834961,38.21687316894531,28.542173385620117,55.029998779296875,30.823461532592773
2000-04-14,34.54690933227539,34.070892333984375,35.55152130126953,51.60117721557617,42.14501953125,41.35325241088867,63.359161376953125,36.53824996948242,28.111482620239258,51.880001068115234,30.120384216308594
2000-04-17,34.71220016479492,34.90946578979492,34.658721923828125,51.54549026489258,40.657718658447266,41.79090118408203,69.00115966796875,36.62699890136719,27.963552474975586,51.255001068115234,30.298845291137695
2000-04-18,35.85196304321289,34.432430267333984,35.52375793457031,53.32156753540039,42.94099807739258,42.16529846191406,74.30735778808594,36.271751403808594,28.456207275390625,51.095001220703125,30.25
2000-04-19,35.79096221923828,34.40678405761719,36.0643196105957,52.21842956542969,43.12376022338867,42.211700439453125,71.65055847167969,36.11149978637695,28.47675895690918,51.845001220703125,30.337692260742188
2000-04-20,36.097999572753906,34.99678421020508,36.15203857421875,53.113922119140625,42.65208053588867,43.00045394897461,69.81295776367188,36.816749572753906,28.458311080932617,50.720001220703125,30.967308044433594
2000-04-24,36.21296310424805,35.541893005371094,36.28575897216797,53.958038330078125,42.22727966308594,43.390098571777344,66.83365631103516,37.041500091552734,28.595861434936523,52.095001220703125,31.733461380004883
2000-04-25,36.2325439453125,35.773963928222656,36.581199645996094,55.868038177490234,43.38336181640625,44.7333984375,72.23400115966797,37.78850173950195,28.609827041625977,53.939998626708984,32.431922912597656
2000-04-26,36.36714553833008,34.99839401245117,36.59851837158203,54.56549072265625,43.186458587646484,43.98649978637695,69.34026336669922,37.31340026855469,29.029138565063477,52.75,33.2319221496582
2000-04-27,36.03969192504883,34.6538200378418,37.15399932861328,53.80509948730469,43.09408187866211,44.14179992675781,73.21379852294922,37.23837661743164,29.209482192993164,51.625,32.512691497802734
2000-04-28,35.53474426269531,34.15703582763672,36.80392074584961,53.762943267822266,43.7457389831543,44.2140998840332,74.84149932861328,37.47024917602539,29.273380279541016,51.904998779296875,32.28499984741211
2000-05-01,36.23423767089844,34.494998931884766,37.32619857788086,54.475685119628906,44.88882064819336,44.80055236816406,75.08116149902344,37.7593994140625,29.597068786621094,51.31500244140625,32.137691497802734
2000-05-02,35.76459884643555,34.496429443359375,37.797000885009766,53.9531364440918,44.34421920776367,44.34450149536133,70.65396118164062,38.0098762512207,29.85258674621582,48.69000244140625,31.466922760009766
2000-05-03,34.553001403808594,34.46053695678711,36.80712127685547,52.57411575317383,43.09960174560547,43.42169952392578,68.53315734863281,37.53312683105469,29.416379928588867,48.689998626708984,31.45269203186035
2000-05-04,34.5491828918457,34.55842971801758,37.73360061645508,52.50627517700195,45.10158157348633,43.87730026245117,68.65486145019531,37.77000045776367,29.598793029785156,47.435001373291016,32.023075103759766
