Stocks,Sharpe Ratio,Minimum Risk
MO,0.029411764705882353,0.029411764705882353
ADM,0.029411764705882353,0.029411764705882353
BFB,0.029411764705882353,0.029411764705882353
CPB,0.029411764705882353,0.029411764705882353
CHD,0.029411764705882353,0.029411764705882353
KO,0.029411764705882353,0.029411764705882353
CL,0.029411764705882353,0.029411764705882353
CAG,0.029411764705882353,0.029411764705882353
STZ,0.029411764705882353,0.029411764705882353
COST,0.029411764705882353,0.029411764705882353
COTY,0.029411764705882353,0.029411764705882353
CVS,0.029411764705882353,0.029411764705882353
DPS,0.029411764705882353,0.029411764705882353
EL,0.029411764705882353,0.029411764705882353
GIS,0.029411764705882353,0.029411764705882353
HRL,0.029411764705882353,0.029411764705882353
SJM,0.029411764705882353,0.029411764705882353
K,0.029411764705882353,0.029411764705882353
KMB,0.029411764705882353,0.029411764705882353
KHC,0.029411764705882353,0.029411764705882353
KR,0.029411764705882353,0.029411764705882353
MKC,0.029411764705882353,0.029411764705882353
TAP,0.029411764705882353,0.029411764705882353
MDLZ,0.029411764705882353,0.029411764705882353
MNST,0.029411764705882353,0.029411764705882353
PEP,0.029411764705882353,0.029411764705882353
PM,0.029411764705882353,0.029411764705882353
PG,0.029411764705882353,0.029411764705882353
SYY,0.029411764705882353,0.029411764705882353
CLX,0.029411764705882353,0.029411764705882353
HSY,0.029411764705882353,0.029411764705882353
TSN,0.029411764705882353,0.029411764705882353
WMT,0.029411764705882353,0.029411764705882353
WBA,0.029411764705882353,0.029411764705882353
