Stocks,Weights
MO,0.020532272914017723
ADM,0.020532272914017723
BFB,0.020532272914017723
CPB,0.020532272914017723
CHD,0.020532272914017723
KO,0.020532272914017723
CL,0.020532272914017723
CAG,0.020532272914017723
STZ,0.020532272914017723
COST,0.020532272914017723
COTY,0.020532272914017723
CVS,0.020532272914017723
DPS,0.020532272914017723
EL,0.020532272914017723
GIS,0.020532272914017723
HRL,0.020532272914017723
SJM,0.020532272914017723
K,0.020532272914017723
KMB,0.020532272914017723
KHC,0.020532272914017723
KR,0.020532272914017723
MKC,0.020532272914017723
TAP,0.020532272914017723
MDLZ,0.020532272914017723
MNST,0.020532272914017723
PEP,0.020532272914017723
PM,0.020532272914017723
PG,0.020532272914017723
SYY,0.020532272914017723
CLX,0.020532272914017723
HSY,0.020532272914017723
TSN,0.020532272914017723
WMT,0.020532272914017723
WBA,0.020532272914017723
ABT,0.002591897257764179
ABBV,0.0010519365411446522
AET,0.0005749309293152282
AGN,0.0036909843535940065
ABC,0.0013534537057006627
BAX,0.0035937568876793138
BDX,0.00999829328466144
BMY,0.004549748929766365
CERN,0.001512942476931455
DHR,0.0036162579195438958
DVA,0.003299722808152653
XRAY,0.0025028706761432607
EW,0.0018407628871557873
EVHC,0.0016479055218763298
ESRX,0.002443112828840548
HCA,0.0013374292184344099
HSIC,0.0017967390371410438
IDXX,0.0010229767126793234
IQV,0.0010030342163408707
JNJ,0.020294531144904027
LH,8.083516099325145e-06
LLY,0.00048580243816106805
MDT,0.003542765660417895
MRK,0.0020762496661431446
MTD,0.002373452684033533
PDCO,0.0006706101199075371
PRGO,0.001984173786171718
PFE,0.0015479842217934663
DGX,0.0023745374975691212
RMD,0.0006330588356768013
COO,0.0007678552698042346
ZBH,0.0020676601318048104
ZTS,0.006476998271677884
T,0.01902668030598384
CTL,0.01902668030598384
VZ,0.01902668030598384
LNT,0.0005541518172721187
AWK,0.016529561949260117
ED,0.04176242450734311
D,0.0015571066974670311
DTE,0.0064257611764836796
ES,0.006054951723964374
NI,0.001121478691834726
NRG,0.0022737246830838898
SCG,0.04068826030507373
SO,0.01887257770719148
WEC,0.0142501613094416
