consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
112.53487,85.07184,58.62319,72.760475,121.47434,89.74306,93.49098,92.076805,98.29019,50.50128,62.13557
111.133705,85.40096,56.50729,71.897644,118.81179,88.15223,93.19635,90.056694,95.46954,50.82779,60.99251
110.49012,85.33068,57.37413,71.67693,117.234604,88.355896,92.61601,89.74745,94.57927,49.71813,59.873863
109.98677,84.657135,58.630013,73.25687,119.30429,88.58049,92.19454,90.42567,96.045265,49.221397,60.85124
109.69118,85.14887,57.524605,72.831085,118.98339,89.50029,92.47241,92.31362,98.66001,50.105434,61.90679
111.08215,85.675064,57.28912,72.25726,118.890274,90.759705,93.39173,93.631226,100.454636,50.805824,62.548603
112.11548,86.44281,57.71174,72.55876,120.07656,90.79299,94.075584,94.0308,100.09084,51.514122,62.627075
112.68549,87.17579,58.13349,73.0581,120.64269,91.17985,94.65892,94.01443,99.81625,51.81717,62.973423
112.99048,86.70687,58.381317,72.74032,120.95159,91.17432,94.43112,93.956924,99.92913,51.82674,62.93484
113.0431,87.364494,58.68891,73.040016,121.44333,91.48505,94.48583,94.54312,100.08843,51.75976,62.956364
113.55467,87.006615,58.494286,72.99578,121.75678,92.01898,95.0396,95.05446,101.83754,51.629734,63.420948
114.05367,87.2115,58.867306,73.5355,122.78418,92.53118,95.505646,95.15457,102.4886,51.50436,63.58308
114.94512,87.51694,58.994217,73.917175,123.53202,92.771545,95.809616,95.38583,102.68538,51.26122,63.570114
115.32906,87.945885,59.334877,74.59172,124.20233,92.97919,96.37576,95.16876,102.57991,51.53225,63.8941
115.62946,88.028015,59.654816,74.52334,124.36469,93.06917,96.4992,95.57674,102.58608,51.887146,63.964542
115.8115,88.18311,60.17306,75.128365,125.15636,92.941185,96.54784,95.39992,102.057236,51.784702,64.00989
115.85913,88.13611,59.971672,74.80368,124.86052,92.97641,96.723785,95.554726,102.34201,51.877037,63.823715
116.26075,88.27279,60.34297,75.37405,125.35489,93.10514,96.653725,95.36401,102.116745,51.411224,63.643703
116.47791,88.074455,60.539017,75.322044,125.59451,93.0622,96.460686,95.58564,102.28711,51.360504,63.59553
116.49587,88.625465,60.488483,75.529015,125.775055,93.14747,96.791725,95.84875,102.32214,51.671978,63.75567
