MO,ADM,BFB,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA,ALGN,DVA,EW,EVHC,HUM,IDXX,ILMN,ISRG,LH,MTD,REGN,COO,ZTS,AMT,CCI,DLR,EQIX,EXR,GGP,SBAC,VTR,AWK,DUK,NEE,SRE
60.84987,37.259613,-2.5526316,54.506157,80.01976,37.49592,64.12565,37.8606,138.97475,147.47136,24.582684,93.05785,85.00104,84.22196,52.32416,70.36776,120.97886,70.33459,121.0355,54.133736,43.97638,84.465164,82.55369,40.599564,122.28386,102.80831,91.79423,82.71767,41.618965,121.412895,91.91842,47.81416,68.6262,78.87216,59.12042,70.26484,76.53304,32.848564,159.70332,80.28155,161.80566,542.757,112.790276,297.3884,410.4184,136.91861,47.090508,90.623245,86.054504,72.246826,288.5448,80.63043,29.513577,99.10751,61.79504,59.763294,81.18869,106.62119,96.73762
58.707596,37.837154,-2.8545573,54.155426,80.330666,38.076862,65.25188,37.652096,135.71227,147.64653,24.671936,92.24368,84.26036,84.59518,52.14182,69.00582,121.69822,70.56587,121.71494,47.379265,48.02297,83.86837,82.46109,40.26865,121.47751,103.42103,93.66716,84.99635,41.436615,119.36702,92.84488,46.706707,70.79781,78.918625,59.813526,72.75353,76.36822,34.30807,161.30827,85.65905,164.72781,549.62616,113.54086,300.04105,410.92105,139.17374,47.47184,90.18548,87.631454,71.916016,287.50616,78.91951,29.592167,100.59938,63.55576,59.696564,83.37045,107.21767,98.17811
61.027107,38.022583,-2.7844393,55.283638,81.03561,38.052135,64.577896,38.66785,141.2358,150.88507,24.882946,94.099174,86.46981,84.34795,53.1775,71.968765,123.573586,71.72751,123.78394,52.737446,46.12581,85.66749,85.57338,40.985348,125.13582,105.16561,93.88861,84.575584,42.63726,123.3667,93.28198,48.61153,70.01873,79.55925,60.25063,71.76059,78.94419,33.855682,163.47768,83.571846,163.6752,555.25366,114.57489,302.75565,418.33093,138.89287,48.306187,92.37993,88.01568,73.40044,294.95587,81.73363,30.949028,101.34953,62.505173,61.42902,83.0992,107.67772,99.877144
60.172283,37.5798,-2.7648938,54.854904,80.44424,38.141052,65.01648,38.283787,137.3235,148.63908,25.86307,92.80429,85.02193,84.13123,51.74615,69.67794,121.77332,70.36162,122.82,48.377106,47.270756,84.9517,83.130844,41.173016,123.16382,104.25117,93.47153,84.69161,42.04734,120.83258,92.408295,47.281086,70.834785,78.61945,60.96284,72.252495,76.38859,33.82103,162.98204,85.481865,167.30103,555.73175,112.824486,302.11493,414.08908,140.66666,47.306114,91.95862,87.64928,73.3297,291.24738,79.84161,31.056705,100.837585,63.54602,60.099007,83.37423,108.3127,99.08392
57.806057,37.882896,-2.9976828,54.303192,79.77027,38.76667,67.02116,36.953556,129.7661,146.02428,25.948154,90.92059,81.97824,84.45691,49.331776,65.99914,120.77869,68.76516,121.238045,38.10923,51.774715,83.92077,80.86799,40.800247,118.53593,102.99059,94.108795,86.401566,40.941055,116.333664,92.90772,45.026585,73.18,78.03454,60.947536,74.538055,73.9151,34.140427,160.54298,91.54015,168.08456,552.8726,111.57041,300.33255,401.1699,142.80392,46.71883,90.23823,88.18481,72.878265,283.0736,75.74768,30.591991,100.53869,66.40198,58.42611,84.46102,109.17166,98.47595
57.922497,39.04293,-3.3273156,54.514313,81.360344,39.412006,66.379364,37.91612,134.35298,150.34413,25.949202,92.93745,84.38131,85.49398,52.267483,68.39738,123.13155,71.08303,124.19755,40.808613,52.620445,84.61093,83.36959,40.770767,123.10701,105.73091,96.66025,88.08407,41.663795,118.471756,93.657936,46.75781,74.243484,80.22305,61.928265,75.57653,76.01078,35.86487,166.73396,91.03733,174.6843,566.80896,115.29119,308.06613,419.09015,144.41708,47.30769,91.22931,89.50098,72.61486,291.51126,78.521774,30.617878,103.31749,65.383194,60.364983,85.75125,110.26306,101.09345
59.594044,38.695107,-2.8143551,55.27513,81.11286,39.547714,67.35718,38.31412,135.03416,149.69162,26.594097,93.500694,84.92088,86.50526,52.13291,68.87359,123.251595,71.105515,124.16345,43.948254,50.268932,85.28014,82.88146,42.118217,122.890015,105.20022,95.561806,86.63653,41.741905,119.66713,93.84026,46.938297,73.03902,79.80909,62.48514,74.37723,76.33941,34.96666,165.20364,89.001305,171.34267,562.57043,114.41738,307.113,418.02106,144.10753,47.465103,92.701706,89.656235,74.41001,291.6078,79.26312,31.008781,102.12109,66.08847,59.843365,85.137566,110.54691,99.76208
63.005524,37.850582,-2.728742,55.29919,82.99062,37.891945,65.61861,39.355427,143.27736,151.84126,25.240276,96.05228,87.01084,86.210976,54.06612,71.591866,122.983185,72.14483,123.99789,57.759636,44.002113,86.750755,83.501945,40.939213,126.8308,106.49881,95.03036,83.947205,43.455196,123.76696,93.62989,48.891506,71.235466,82.6837,61.152584,73.765236,79.847275,35.5232,165.95859,80.02073,172.59738,564.4396,116.58046,306.12088,423.86334,143.01335,47.315773,93.427795,88.387375,72.25023,298.736,83.076324,31.07037,103.38142,62.81124,61.585285,83.88139,109.776505,100.39855
60.737816,38.650307,-2.8622696,55.32723,82.175606,39.3164,67.62775,38.370743,136.93602,150.92976,25.822784,94.876976,85.30051,87.04751,52.858494,69.31687,123.51202,71.5866,124.50464,47.002975,49.082188,85.97236,83.26983,41.672,123.58963,106.088745,96.05696,86.27741,42.401787,120.55342,94.632195,47.6209,73.554306,81.872,61.901817,75.229904,78.63293,35.692085,165.3213,87.500694,172.86786,563.7429,116.333466,307.47983,418.8446,145.02158,48.070057,92.93033,90.205315,73.39386,293.99088,80.41179,31.156124,103.17424,65.90468,60.62228,85.59452,110.32179,100.56849
63.1354,37.79813,-2.338961,55.59018,83.16024,37.46817,65.31871,39.67426,144.06204,151.4399,25.079754,96.062355,87.33986,86.716576,55.29807,72.21761,122.77234,72.34201,124.447395,60.045513,42.20775,86.27554,82.98693,41.454643,127.077896,106.62448,95.00606,84.28744,44.124485,124.27439,94.20253,49.19185,70.57743,83.01302,61.408104,73.25781,79.929596,35.320023,165.82976,79.775894,172.58417,562.2528,116.00239,305.66785,428.19174,142.60123,46.861065,93.68004,88.34348,72.53126,297.84067,83.432785,30.669445,103.391624,62.410015,61.39409,83.08083,109.582275,100.56049
