,MKC-true,MKC-predicted
,88.2399978637695,82.19497
,90.5,83.20106
,90.3399963378906,82.92533
,89.6699981689453,81.95376
,90.379997253418,82.83057
,91.2600021362305,83.90423
,90.9300003051758,82.83108
,92.0199966430664,83.37525
,91.5299987792969,83.660965
,92.870002746582,84.59139
,92.9000015258789,84.465164
,94.0999984741211,83.86837
,93.5299987792969,85.66749
,93.2600021362305,84.9517
,93.379997253418,83.92077
,93.5199966430664,84.61093
,93.75,85.28014
,93.9300003051758,86.750755
,93.2799987792969,85.97236
,93.5999984741211,86.27554
,93.870002746582,86.235176
,93.6500015258789,86.742836
,94.2300033569336,86.80661
,94.3099975585938,87.22536
,93.7699966430664,87.4089
,94.75,85.76866
,95.7399978637695,86.360374
,94.4300003051758,85.779076
,94.1399993896484,86.05233
,94.0199966430664,86.14686
,95.8399963378906,86.439644
,96.3300018310547,86.49264
,97.3600006103516,85.983986
,99.5899963378906,86.46821
,99.75,88.06065
,99.4800033569336,88.375824
,100.529998779297,88.01847
,100.709999084473,88.19749
,99.0899963378906,88.672775
,99.6100006103516,87.36049
,99.4199981689453,87.74932
,100.029998779297,88.282524
,98.5299987792969,87.93444
,98.9000015258789,88.11103
,96.7200012207031,90.45241
,94.8300018310547,90.0591
,95.0599975585937,88.75173
,95.0800018310547,88.35588
,94.9899978637695,89.58551
,93.7300033569336,89.39318
,91.3899993896484,88.9347
,91.7600021362305,88.38462
,93.2900009155273,89.861
,93.0599975585938,89.42922
,93,89.08816
,93.370002746582,88.94456
,93.7799987792969,88.17618
,94.3199996948242,88.47949
,93.5999984741211,88.566154
,94.7200012207031,87.87149
,94.8000030517578,88.19661
,95.5,88.122215
,96.9899978637695,88.62064
,97.9800033569336,89.221375
