consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
105.53658294677734,83.11090850830078,52.41999816894531,63.64835739135742,114.60737609863281,86.2250747680664,80.9433364868164,81.64250183105469,94.71212005615234,45.29499816894531,57.591426849365234
104.92731475830078,83.5257568359375,53.734840393066406,63.8414192199707,114.17082214355469,86.709228515625,81.10565185546875,82.58291625976562,95.23878479003906,45.34000015258789,57.83928680419922
104.31561279296875,82.92878723144531,53.41387176513672,64.15985107421875,113.3949203491211,86.52015686035156,80.74173736572266,82.55291748046875,94.62939453125,45.0,57.59214401245117
105.33085632324219,83.28211975097656,55.35129165649414,65.05701446533203,114.43311309814453,87.11815643310547,80.95565032958984,83.26708221435547,95.28545379638672,45.30999755859375,57.96821212768555
106.748291015625,82.68121337890625,55.451934814453125,66.65447998046875,115.46295166015625,88.42123413085938,82.26347351074219,84.09041595458984,94.56090545654297,44.77000045776367,57.613216400146484
106.97219848632812,82.37515258789062,55.5703239440918,66.80209350585938,115.31229400634766,88.33623504638672,82.0659408569336,83.81500244140625,93.71969604492188,44.88999938964844,57.48249816894531
107.2311019897461,82.88878631591797,54.478065490722656,66.67850494384766,115.43229675292969,88.52584838867188,82.07144927978516,84.23249816894531,94.5860595703125,44.915000915527344,57.932857513427734
108.03719329833984,83.09970092773438,55.55741882324219,67.0617904663086,116.55098724365234,88.87430572509766,82.5999984741211,84.84874725341797,95.16848754882812,45.19000244140625,58.1110725402832
107.6030502319336,83.28485107421875,56.81161117553711,67.8223876953125,115.92279052734375,89.2883071899414,81.63101196289062,86.04582977294922,95.03485107421875,45.5,58.183929443359375
107.61316680908203,82.3139419555664,57.26580810546875,68.53611755371094,116.56393432617188,89.18830871582031,81.88999938964844,86.1937484741211,93.77090454101562,45.23500061035156,56.700714111328125
107.14134216308594,80.82030487060547,56.81999969482422,67.8738784790039,117.29950714111328,88.64369201660156,81.68891143798828,85.70500183105469,92.34363555908203,43.94499969482422,55.38642883300781
106.8536605834961,80.92757415771484,57.958709716796875,68.47328186035156,117.36983489990234,89.00861358642578,80.38753509521484,86.33125305175781,93.32636260986328,44.30999755859375,55.869285583496094
106.93450927734375,81.60485076904297,57.25064468383789,68.1353759765625,116.7931137084961,88.4332275390625,80.38565063476562,85.867919921875,94.05848693847656,44.48500061035156,56.02535629272461
107.23670959472656,81.43030548095703,58.627418518066406,68.60850524902344,116.4827880859375,89.44061279296875,80.06898498535156,86.36958312988281,94.28817749023438,44.26499938964844,56.073570251464844
107.19158172607422,81.85818481445312,59.84354782104492,68.78791046142578,116.05655670166016,90.09507751464844,80.1678237915039,86.80458068847656,93.95697021484375,45.20500183105469,56.84107208251953
105.61231231689453,81.98696899414062,58.65419387817383,67.81522369384766,114.91049194335938,89.00861358642578,78.87261199951172,85.66083526611328,93.63909149169922,44.83000183105469,56.82892990112305
106.30451202392578,82.29424285888672,58.33967971801758,67.44104766845703,113.47262573242188,88.22307586669922,78.23506927490234,84.819580078125,92.92848205566406,44.87999725341797,57.23143005371094
107.79012298583984,83.29666900634766,58.22999954223633,68.14775848388672,114.40475463867188,88.63600158691406,78.85985565185547,85.5562515258789,94.41787719726562,45.209999084472656,57.753211975097656
107.29244232177734,83.0654525756836,56.566776275634766,67.16551971435547,113.41737365722656,88.0076904296875,78.01811981201172,84.97166442871094,94.16151428222656,44.79499816894531,57.76250076293945
105.57890319824219,83.28485107421875,55.717098236083984,66.75701904296875,112.11000061035156,87.26692199707031,77.71217346191406,84.29042053222656,95.4624252319336,44.86000061035156,58.3889274597168
104.55536651611328,83.25727081298828,56.73322677612305,66.74298858642578,113.04934692382812,87.43084716796875,77.83058166503906,84.46458435058594,95.74242401123047,44.790000915527344,58.18464279174805
105.19878387451172,83.65939331054688,56.32451629638672,66.85567474365234,112.51278686523438,88.0091552734375,78.55521392822266,85.12291717529297,96.65666961669922,45.05500030517578,57.82143020629883
105.7297592163086,84.27727508544922,55.521934509277344,66.77642059326172,113.79869079589844,87.80754089355469,78.70115661621094,84.80083465576172,97.44575500488281,44.970001220703125,58.14107131958008
106.93366241455078,85.20909118652344,56.68967819213867,67.86268615722656,114.90377044677734,89.47430419921875,79.80941772460938,86.36499786376953,97.7984848022461,45.42500305175781,58.173213958740234
105.08255767822266,84.50969696044922,56.957096099853516,67.22223663330078,113.49032592773438,88.66092681884766,79.24492645263672,85.98458099365234,95.89393615722656,45.165000915527344,58.318214416503906
105.56610107421875,84.93242645263672,57.01129150390625,67.44671630859375,112.8350830078125,88.51000213623047,78.94622802734375,86.5433349609375,96.58424377441406,45.51000213623047,58.63678741455078
104.36841583251953,84.09333038330078,56.37870788574219,66.64701843261719,112.71573638916016,87.5780029296875,78.72710418701172,85.88458251953125,95.64757537841797,45.04499816894531,58.36428451538086
104.79377746582031,84.43030548095703,57.2545166015625,67.05104064941406,114.64328002929688,88.5509262084961,79.5292739868164,86.91791534423828,96.5984878540039,45.25499725341797,58.450714111328125
103.81816864013672,82.75151824951172,57.520320892333984,66.61268615722656,113.37983703613281,88.23938751220703,78.8182601928711,86.1875,94.8912124633789,45.005001068115234,57.40142822265625
103.55536651611328,81.88636016845703,56.945159912109375,67.9103012084961,113.96229553222656,88.07154083251953,79.23304748535156,85.28541564941406,93.75030517578125,44.41999816894531,56.29750061035156
103.28195190429688,82.51121520996094,56.83515930175781,67.30716705322266,113.02082061767578,87.31184387207031,78.65478515625,85.2004165649414,92.92485046386719,44.03499984741211,56.84214401245117
